session_sk,session_start,session_end,n_events,duration_s
002a35ed-7253-76b3-c5c1-1858cdc2f978,2019-11-01 02:57:54+00:00,2019-11-01 03:00:08+00:00,5,134.0
002ac5be-f071-4ddc-8888-1888c3a47389,2019-11-01 02:40:39+00:00,2019-11-01 02:40:39+00:00,1,0.0
002bc630-adbf-42ca-aee0-0889b5d1f07f,2019-11-01 03:21:28+00:00,2019-11-01 03:21:57+00:00,2,29.0
002c4cc3-1c0b-454a-871e-11200cd835e4,2019-11-01 03:21:09+00:00,2019-11-01 03:22:02+00:00,2,53.0
002cc294-3032-4dc2-8178-4bf026bb812e,2019-11-01 01:27:20+00:00,2019-11-01 01:27:20+00:00,1,0.0
00345c47-a9d4-4041-a62f-cc8b2833cd2d,2019-11-01 02:59:18+00:00,2019-11-01 02:59:18+00:00,1,0.0
00357cfa-08e6-43bd-b304-46ffc01ca55c,2019-11-01 03:46:54+00:00,2019-11-01 03:47:36+00:00,3,42.0
0036a270-5f74-4689-81f9-230c3da82c20,2019-11-01 03:17:03+00:00,2019-11-01 03:20:15+00:00,4,192.0
003da6f6-96ea-4ce0-beed-0c824b1b6a29,2019-11-01 03:20:00+00:00,2019-11-01 03:20:24+00:00,2,24.0
004292d5-f9ab-476a-b89d-578da4e9ff02,2019-11-01 00:52:11+00:00,2019-11-01 00:53:06+00:00,2,55.0
00451316-3f38-4171-a20e-94e962c8c093,2019-11-01 02:12:09+00:00,2019-11-01 02:12:09+00:00,1,0.0
0049d10e-dff2-4fca-9e2d-96a88f731006,2019-11-01 03:50:00+00:00,2019-11-01 03:50:00+00:00,1,0.0
004cfcad-a17d-4650-a061-512719105349,2019-11-01 03:44:08+00:00,2019-11-01 03:46:54+00:00,5,166.0
004e791d-10a9-48ee-bbbe-e11fe654f43f,2019-11-01 01:50:59+00:00,2019-11-01 01:57:40+00:00,3,401.0
0051b14d-b5d1-47b9-93ab-868a878a317f,2019-11-01 03:43:25+00:00,2019-11-01 03:43:57+00:00,2,32.0
005431f9-6f03-41d4-bf4a-1b3e82bbb014,2019-11-01 06:17:19+00:00,2019-11-01 06:17:19+00:00,1,0.0
0054eae1-d26a-4510-8f2c-e13b60408afc,2019-11-01 03:26:10+00:00,2019-11-01 03:26:18+00:00,2,8.0
00567dc5-d768-42fa-9c5a-d8f257424b0e,2019-11-01 06:07:02+00:00,2019-11-01 06:07:02+00:00,1,0.0
005e878a-46ed-45b2-8ca6-d378fe0066b3,2019-11-01 00:53:27+00:00,2019-11-01 00:53:51+00:00,2,24.0
005edb77-a8f7-4c64-8f24-451ee7570fa3,2019-11-01 01:36:15+00:00,2019-11-01 02:16:52+00:00,5,2437.0
0060e8fe-8b57-4175-867b-6d2fa990867e,2019-11-01 00:57:57+00:00,2019-11-01 00:57:57+00:00,1,0.0
00640db5-4c55-458a-85a7-ccf115b182a1,2019-11-01 06:20:18+00:00,2019-11-01 06:20:18+00:00,1,0.0
00657a2b-5f18-4ec2-b374-3ef4ff31328c,2019-11-01 03:44:46+00:00,2019-11-01 03:44:46+00:00,1,0.0
0066d311-b84f-4572-883c-5651de23f490,2019-11-01 03:33:45+00:00,2019-11-01 03:33:45+00:00,1,0.0
0069d8dd-de32-4681-9192-4cba143a787e,2019-11-01 02:52:49+00:00,2019-11-01 02:52:49+00:00,1,0.0
006c4efa-fddd-486b-ae70-46fe45325d26,2019-11-01 06:19:47+00:00,2019-11-01 06:19:47+00:00,1,0.0
006f3e2c-ab8c-4285-8ab6-f3ed34272e5a,2019-11-01 00:42:00+00:00,2019-11-01 01:08:46+00:00,25,1606.0
006fcf3f-e9e3-4bf5-bdbf-89bbd7298d23,2019-11-01 02:23:49+00:00,2019-11-01 02:25:20+00:00,3,91.0
006fe59a-957b-494a-8d91-800dbec0b5d9,2019-11-01 02:34:09+00:00,2019-11-01 02:34:09+00:00,1,0.0
00700c78-b0cb-4d65-98d6-ead65bcf36b9,2019-11-01 03:30:36+00:00,2019-11-01 03:30:36+00:00,1,0.0
00764f48-f75d-4db0-96b1-2beae6ae2407,2019-11-01 03:46:54+00:00,2019-11-01 03:47:31+00:00,3,37.0
00768b99-112a-481b-9b62-8de9a404a7b3,2019-11-01 03:02:06+00:00,2019-11-01 03:02:51+00:00,3,45.0
0077403d-8c53-40a5-bf88-eadb9e69debe,2019-11-01 03:41:32+00:00,2019-11-01 03:42:10+00:00,2,38.0
00776969-e27a-4252-a03a-bd4d36c69213,2019-11-01 01:38:27+00:00,2019-11-01 01:38:27+00:00,1,0.0
00781491-6d86-48fb-b03b-ac62202d62a2,2019-11-01 04:48:07+00:00,2019-11-01 04:48:10+00:00,2,3.0
007b861c-eae5-439b-a37f-f05a010608ed,2019-11-01 03:13:08+00:00,2019-11-01 03:18:25+00:00,3,317.0
007da847-6f4d-48c5-990f-8338c34650ae,2019-11-01 01:43:04+00:00,2019-11-01 01:45:15+00:00,4,131.0
007f92ae-f7a5-4c11-912c-2f32d9bb6fad,2019-11-01 00:25:27+00:00,2019-11-01 00:27:20+00:00,6,113.0
008260f1-493d-4c44-949a-660795cb09c0,2019-11-01 03:02:42+00:00,2019-11-01 03:07:52+00:00,8,310.0
0086047f-2a48-41f7-bd1c-364376b51e70,2019-11-01 02:18:24+00:00,2019-11-01 02:26:08+00:00,11,464.0
00881832-7b67-4ae5-ab41-2e5d91d88213,2019-11-01 03:00:19+00:00,2019-11-01 03:05:36+00:00,4,317.0
0091c2ae-1424-4753-8e3f-c35ab9f4e467,2019-11-01 02:29:44+00:00,2019-11-01 02:33:37+00:00,4,233.0
00948253-2df1-4e90-9df3-b21f33fda421,2019-11-01 03:30:07+00:00,2019-11-01 03:32:25+00:00,3,138.0
0095b9fd-2e36-40d8-83ab-901fd44e22c3,2019-11-01 03:05:34+00:00,2019-11-01 03:11:56+00:00,6,382.0
009858a6-f4e8-4d19-b22b-5502776a9404,2019-11-01 03:36:07+00:00,2019-11-01 03:36:07+00:00,1,0.0
0099d475-0738-4fa7-befa-540ced85c256,2019-11-01 00:01:53+00:00,2019-11-01 00:01:53+00:00,1,0.0
0099f44e-9d2d-4fa7-9edd-3ab22f604e13,2019-11-01 02:07:37+00:00,2019-11-01 02:07:37+00:00,1,0.0
009a76be-89c7-45ce-a25a-8aa5110a99f5,2019-11-01 00:58:18+00:00,2019-11-01 00:58:18+00:00,1,0.0
009ded1d-200c-4e3f-a300-9ebb41310d99,2019-11-01 00:05:57+00:00,2019-11-01 00:05:57+00:00,1,0.0
009ef3ae-b939-423a-9ff7-612102938b1f,2019-11-01 03:23:47+00:00,2019-11-01 03:23:47+00:00,1,0.0
00a0fdb1-4f07-4eba-83b1-66b1ce922f6b,2019-11-01 03:28:56+00:00,2019-11-01 03:29:11+00:00,2,15.0
00a3c7ed-dc50-494b-b521-464372aeac9a,2019-11-01 06:22:57+00:00,2019-11-01 06:22:57+00:00,1,0.0
00a3da3c-230c-4593-9249-982ab821f944,2019-11-01 03:34:03+00:00,2019-11-01 03:40:14+00:00,10,371.0
00a5d5ca-2968-4015-98d5-cec4b97c1864,2019-11-01 03:20:50+00:00,2019-11-01 03:24:33+00:00,5,223.0
00a64ca4-55ef-4842-a0ca-56d7cc95a8a1,2019-11-01 03:06:29+00:00,2019-11-01 03:06:29+00:00,1,0.0
00a65a47-c570-48a4-ac00-67963ce74f38,2019-11-01 03:23:55+00:00,2019-11-01 03:26:49+00:00,3,174.0
00a8314b-e294-4bea-b8a4-9572e01967ec,2019-11-01 00:29:54+00:00,2019-11-01 00:29:54+00:00,1,0.0
00a95999-31bf-4c8c-9ab3-d31022c16d91,2019-11-01 03:33:53+00:00,2019-11-01 03:37:35+00:00,4,222.0
00ad007d-ae98-406c-a87d-c25be644cc9c,2019-11-01 03:48:10+00:00,2019-11-01 03:52:07+00:00,8,237.0
00ad1b1a-753e-4a65-8371-21a3d8606292,2019-11-01 02:01:29+00:00,2019-11-01 02:02:57+00:00,6,88.0
00ad4da8-c22d-4769-ba30-09b25edab524,2019-11-01 03:37:05+00:00,2019-11-01 03:37:05+00:00,1,0.0
00aeb288-db83-4579-851c-90e0116f8b92,2019-11-01 01:32:35+00:00,2019-11-01 01:32:53+00:00,2,18.0
00b2bf7b-b911-4e19-904c-046ac07e74d7,2019-11-01 03:47:58+00:00,2019-11-01 03:49:17+00:00,3,79.0
00b3f5a2-6f2f-4b92-87c4-e29055dcf211,2019-11-01 02:02:19+00:00,2019-11-01 02:09:42+00:00,2,443.0
00b73434-86f6-4454-8104-fb0ee4b5c8c3,2019-11-01 02:49:22+00:00,2019-11-01 02:49:53+00:00,3,31.0
00b9f833-4ae4-4714-a7ab-0d60c8c4ccd4,2019-11-01 03:02:22+00:00,2019-11-01 03:11:02+00:00,10,520.0
00bb5c65-3071-49c1-897b-929cccc4feff,2019-11-01 00:33:12+00:00,2019-11-01 00:39:04+00:00,6,352.0
00be144f-dac4-4f3a-a787-bd14099e1d24,2019-11-01 03:44:21+00:00,2019-11-01 03:44:21+00:00,1,0.0
00bf1e84-a29d-4656-ae4c-e2174a41c3ea,2019-11-01 03:05:15+00:00,2019-11-01 03:05:35+00:00,2,20.0
00c11b9e-352f-49c0-81d6-179222e889c0,2019-11-01 04:23:53+00:00,2019-11-01 04:23:53+00:00,1,0.0
00c49b2f-ba45-46c5-828a-272954793e8c,2019-11-01 04:39:21+00:00,2019-11-01 04:41:12+00:00,2,111.0
00c511c2-84b2-434f-b5f0-c02f1177df44,2019-11-01 01:31:06+00:00,2019-11-01 01:54:32+00:00,30,1406.0
00c59daf-82e8-4f86-871b-d0e994cc1130,2019-11-01 03:11:14+00:00,2019-11-01 03:12:45+00:00,2,91.0
00c659ee-ad40-4936-a738-ff411a741f4b,2019-11-01 03:05:26+00:00,2019-11-01 03:50:06+00:00,8,2680.0
00c6904d-1842-42f5-9741-095f71a77344,2019-11-01 02:31:15+00:00,2019-11-01 02:33:58+00:00,3,163.0
00c9b7ae-c12c-415d-8c32-ab2d37ba0107,2019-11-01 02:37:19+00:00,2019-11-01 02:37:19+00:00,1,0.0
00c9e850-fe3c-4ab0-bd29-fff21d2128fa,2019-11-01 02:28:12+00:00,2019-11-01 02:29:33+00:00,3,81.0
00cb7824-1f44-449a-a70c-9fd77f0a8a21,2019-11-01 03:12:37+00:00,2019-11-01 03:12:37+00:00,1,0.0
00cc1ad1-f00f-46be-8d3a-e696cc347c5d,2019-11-01 02:38:00+00:00,2019-11-01 02:38:00+00:00,1,0.0
00cfb19d-4ebc-4ead-ba7a-5165d8bf59ed,2019-11-01 01:52:04+00:00,2019-11-01 01:52:04+00:00,1,0.0
00d1f58d-4c21-4aae-89f5-5c03412d2308,2019-11-01 03:50:57+00:00,2019-11-01 03:52:32+00:00,2,95.0
00d5135d-6834-44d5-8a76-dbde8a91df43,2019-11-01 03:05:48+00:00,2019-11-01 03:05:48+00:00,1,0.0
00da525a-ac8c-4faf-a616-842d89bdf3ed,2019-11-01 00:54:33+00:00,2019-11-01 00:58:09+00:00,5,216.0
00dae094-c4a3-43d3-8088-b2312b75de29,2019-11-01 01:29:28+00:00,2019-11-01 01:30:16+00:00,3,48.0
00e41c3f-42eb-48d5-92a5-1856f425ccb1,2019-11-01 02:19:09+00:00,2019-11-01 02:19:09+00:00,1,0.0
00e448df-6d10-4fa9-9de0-d032cb967650,2019-11-01 02:24:52+00:00,2019-11-01 02:24:52+00:00,1,0.0
00eafad6-72ec-4f5a-8422-fe462bc6cb71,2019-11-01 03:47:30+00:00,2019-11-01 03:47:30+00:00,1,0.0
00f02f96-921c-4bec-973e-14de642ff2fa,2019-11-01 00:51:12+00:00,2019-11-01 00:51:29+00:00,2,17.0
00f0c5b9-2905-4068-8783-f8f88903ccde,2019-11-01 01:55:45+00:00,2019-11-01 02:02:08+00:00,6,383.0
00f1da57-cf8b-4d7c-8bd3-8be4841a72e8,2019-11-01 03:04:32+00:00,2019-11-01 03:04:32+00:00,1,0.0
00faf52a-5f15-4446-a641-ad2486e2e059,2019-11-01 02:53:38+00:00,2019-11-01 02:55:59+00:00,5,141.0
00fc0169-6202-43ca-8471-a76369e64f6f,2019-11-01 03:33:10+00:00,2019-11-01 03:33:10+00:00,1,0.0
00fd6219-490b-4a1c-9ee0-cf5914317269,2019-11-01 03:00:00+00:00,2019-11-01 03:00:18+00:00,2,18.0
01071258-06f5-455f-a245-3d8e39aab2f5,2019-11-01 02:29:17+00:00,2019-11-01 02:29:17+00:00,1,0.0
01086461-bfb5-4461-bf93-aadaa261f6fc,2019-11-01 03:35:53+00:00,2019-11-01 03:45:57+00:00,9,604.0
0108bb0d-08cc-48c9-8f07-1aa1b7c7bed5,2019-11-01 01:34:15+00:00,2019-11-01 01:34:15+00:00,1,0.0
0108f55e-50a2-443b-8be9-ec2af123414c,2019-11-01 00:38:52+00:00,2019-11-01 00:40:27+00:00,4,95.0
010bc15b-8b4b-4a80-8c7d-37fea6b4c4be,2019-11-01 02:07:31+00:00,2019-11-01 02:08:45+00:00,4,74.0
010bf580-2b9e-43d4-b52d-f21a8c35a752,2019-11-01 02:50:38+00:00,2019-11-01 03:21:57+00:00,3,1879.0
010c6c57-d2af-4772-964e-137a3e65042c,2019-11-01 03:48:16+00:00,2019-11-01 03:48:16+00:00,1,0.0
0110890b-96d6-4ae1-9c9b-4728a1dcfeba,2019-11-01 00:01:12+00:00,2019-11-01 00:01:12+00:00,1,0.0
01171c48-1e79-4688-b6f8-a319710e7009,2019-11-01 03:13:42+00:00,2019-11-01 03:15:38+00:00,2,116.0
011893c2-162a-454c-baa3-643c4b014a15,2019-11-01 01:48:49+00:00,2019-11-01 01:48:49+00:00,1,0.0
011d1259-2f38-4f90-abff-4bf0528aa6d9,2019-11-01 01:06:53+00:00,2019-11-01 01:08:18+00:00,2,85.0
0121339b-5184-422f-9f37-47aa71a7f6da,2019-11-01 03:43:07+00:00,2019-11-01 03:43:12+00:00,2,5.0
0121c2be-15b0-4162-9dc4-c1052feecfcd,2019-11-01 06:56:35+00:00,2019-11-01 06:56:35+00:00,1,0.0
0122b74f-9114-471e-981c-e194c20f0256,2019-11-01 03:45:56+00:00,2019-11-01 03:45:56+00:00,1,0.0
0124cad5-1d55-4791-8fa7-5d0cd918f8a3,2019-11-01 03:21:41+00:00,2019-11-01 03:23:27+00:00,3,106.0
012ba964-95af-4b0d-8dae-5fea379347f4,2019-11-01 03:02:08+00:00,2019-11-01 03:02:46+00:00,3,38.0
012c7665-59d0-4082-82f7-26d2ee4de612,2019-11-01 02:23:45+00:00,2019-11-01 02:47:02+00:00,8,1397.0
012e33bd-24cf-453b-861e-3379a85568c4,2019-11-01 02:40:08+00:00,2019-11-01 02:40:16+00:00,2,8.0
0135a6b3-38cf-4bee-b40a-d585007dd22f,2019-11-01 03:03:07+00:00,2019-11-01 03:04:45+00:00,3,98.0
0138d421-2a1f-4c8e-9631-67d778af11ef,2019-11-01 01:37:34+00:00,2019-11-01 01:42:30+00:00,10,296.0
013e5453-92ef-41ba-8885-8d6bb4b07998,2019-11-01 03:38:23+00:00,2019-11-01 03:38:23+00:00,1,0.0
0141eb8a-dc06-48f1-afbb-cfb1b4e14c4b,2019-11-01 03:43:57+00:00,2019-11-01 03:50:15+00:00,4,378.0
01421c06-8a53-46cd-9189-36d97505fb30,2019-11-01 00:38:38+00:00,2019-11-01 00:42:37+00:00,4,239.0
0143c425-e70a-4bd7-8716-617dc8f61d29,2019-11-01 07:51:23+00:00,2019-11-01 07:51:23+00:00,1,0.0
0146ee50-6161-4617-971c-78a0833ce8f1,2019-11-01 02:34:05+00:00,2019-11-01 02:34:41+00:00,3,36.0
0149bd59-ca79-41e0-8f55-63c3c996de0f,2019-11-01 03:20:22+00:00,2019-11-01 03:20:22+00:00,1,0.0
014e9b99-6edb-4455-9de1-38eab53cdef3,2019-11-01 00:46:48+00:00,2019-11-01 00:46:48+00:00,1,0.0
014f3b73-ce6b-4389-801e-b63f7cc88d69,2019-11-01 05:37:41+00:00,2019-11-01 05:37:41+00:00,1,0.0
014fddd3-0b49-45fe-91f2-864c76bf44af,2019-11-01 01:43:03+00:00,2019-11-01 01:43:03+00:00,1,0.0
0153ed32-c47d-435e-b81d-30add835e1b0,2019-11-01 03:49:47+00:00,2019-11-01 03:49:47+00:00,1,0.0
01554b50-b89c-4171-9fdf-5c21f74d75ca,2019-11-01 01:07:48+00:00,2019-11-01 01:07:48+00:00,1,0.0
0155f82b-b8f6-42bc-bb19-f713cefae4c9,2019-11-01 03:31:18+00:00,2019-11-01 03:34:37+00:00,3,199.0
015a82a6-20bf-4e20-a916-9f0a5b93f83f,2019-11-01 02:11:53+00:00,2019-11-01 02:12:45+00:00,2,52.0
015c5ed5-3e4b-450a-8f0d-ecfa24fdb331,2019-11-01 01:26:10+00:00,2019-11-01 01:26:23+00:00,3,13.0
01637823-3dd0-411f-9011-3947bba41bad,2019-11-01 02:14:07+00:00,2019-11-01 02:14:07+00:00,1,0.0
0167dc82-d701-05ca-686d-5a7be9beb694,2019-11-01 03:25:51+00:00,2019-11-01 03:33:24+00:00,4,453.0
016df708-4d6b-4a70-8e0d-d74eb31f55a3,2019-11-01 00:36:32+00:00,2019-11-01 00:38:01+00:00,5,89.0
016ee4fb-7fb1-4e1c-97ad-d484d9ea7f1f,2019-11-01 03:20:33+00:00,2019-11-01 03:20:33+00:00,1,0.0
017457f4-325f-483e-af71-bb9f9b9c5d29,2019-11-01 02:24:01+00:00,2019-11-01 02:30:11+00:00,4,370.0
01778310-93d0-48f8-8d5b-baa9b07c02b0,2019-11-01 02:41:12+00:00,2019-11-01 02:44:12+00:00,2,180.0
0178a669-22bc-4314-9897-f69359adc9df,2019-11-01 00:45:40+00:00,2019-11-01 00:45:40+00:00,1,0.0
017a1a49-cc9c-4de0-850c-5cf35f9ab81f,2019-11-01 02:16:21+00:00,2019-11-01 02:24:40+00:00,4,499.0
017b7a93-1d8a-4477-b703-13da86a5b2b0,2019-11-01 03:20:32+00:00,2019-11-01 03:20:32+00:00,1,0.0
0185bcaa-77f9-4691-a06c-294b8c9208ca,2019-11-01 03:06:56+00:00,2019-11-01 03:06:56+00:00,1,0.0
0189a081-1eaf-42df-bee3-bffece85a66b,2019-11-01 00:45:38+00:00,2019-11-01 00:45:38+00:00,1,0.0
018b983d-80c9-4402-afc9-2c9ea4da2c9b,2019-11-01 03:50:28+00:00,2019-11-01 03:50:28+00:00,1,0.0
018d1d05-fc08-417e-8510-a6c1b6b134d8,2019-11-01 02:22:30+00:00,2019-11-01 02:22:30+00:00,1,0.0
018e1bd9-0494-4f07-9529-ca34ed27b352,2019-11-01 03:49:49+00:00,2019-11-01 03:49:49+00:00,1,0.0
0190a405-6f19-4371-9901-cafe36cf33e7,2019-11-01 03:00:04+00:00,2019-11-01 03:00:04+00:00,1,0.0
0191b3b8-306a-3b23-4623-770ac1e1be17,2019-11-01 02:42:23+00:00,2019-11-01 02:43:51+00:00,3,88.0
0196c64d-c7c3-4064-ba38-24ea4535d8c5,2019-11-01 03:24:25+00:00,2019-11-01 03:27:20+00:00,7,175.0
0196edab-1570-4c69-aba6-ec9203c0ce1f,2019-11-01 02:22:11+00:00,2019-11-01 02:22:11+00:00,1,0.0
0197ea4b-17d9-4354-8691-9b122e081524,2019-11-01 03:14:50+00:00,2019-11-01 03:14:50+00:00,1,0.0
01988ab6-3eec-4639-98a1-3da6968959e7,2019-11-01 03:12:59+00:00,2019-11-01 03:13:09+00:00,2,10.0
0198a660-15a2-4046-b90c-7d9e04afbd97,2019-11-01 02:49:08+00:00,2019-11-01 02:51:22+00:00,7,134.0
019e23fd-bd31-486f-9950-a8a65b3b461b,2019-11-01 03:28:00+00:00,2019-11-01 03:29:02+00:00,3,62.0
019ea4d2-8c3c-4415-bf7a-78a1c9948804,2019-11-01 03:20:51+00:00,2019-11-01 03:23:04+00:00,3,133.0
01a015d2-d96a-4d01-bf6e-2139268020e3,2019-11-01 03:25:58+00:00,2019-11-01 03:25:58+00:00,1,0.0
01a07c94-135a-4c94-8a22-d9f90ade30cb,2019-11-01 03:38:41+00:00,2019-11-01 03:40:53+00:00,4,132.0
01a44fa9-760d-4a32-adf2-afa65f6dc827,2019-11-01 03:23:55+00:00,2019-11-01 03:26:21+00:00,2,146.0
01a483c5-7f1b-451b-8ec3-04061c3d2a8d,2019-11-01 03:10:53+00:00,2019-11-01 03:10:53+00:00,1,0.0
01a85583-4456-4d0b-8288-b502315f8fca,2019-11-01 01:30:19+00:00,2019-11-01 01:30:19+00:00,1,0.0
01a9c281-bfed-41d8-ac1a-01cf41637017,2019-11-01 03:32:28+00:00,2019-11-01 03:32:28+00:00,1,0.0
01b198c5-d39d-4b3e-be13-557a1eba3f1c,2019-11-01 04:37:41+00:00,2019-11-01 04:37:41+00:00,1,0.0
01b27372-4dac-4bc0-be51-4efbe98ea257,2019-11-01 05:47:50+00:00,2019-11-01 05:53:15+00:00,2,325.0
01b3ee7a-dfd5-41d0-bfb1-a3d88cc8cbcd,2019-11-01 03:33:05+00:00,2019-11-01 03:46:08+00:00,7,783.0
01b53a1f-f51d-47ab-a021-1b146c1f0b89,2019-11-01 03:25:52+00:00,2019-11-01 03:27:32+00:00,3,100.0
01bc9aec-5d09-4d33-da8d-f3db3027a462,2019-11-01 02:15:56+00:00,2019-11-01 02:24:23+00:00,5,507.0
01c02057-cb5f-44b8-a12e-b07588f9337f,2019-11-01 03:52:21+00:00,2019-11-01 03:52:21+00:00,1,0.0
01c238e8-e845-4a95-8c73-c2fa49173c76,2019-11-01 03:49:39+00:00,2019-11-01 03:51:15+00:00,5,96.0
01c2700c-1521-4bdb-997f-be64df8fc3f5,2019-11-01 02:43:25+00:00,2019-11-01 02:47:53+00:00,12,268.0
01c657e7-e91d-4e10-b93c-8012246e5717,2019-11-01 02:38:06+00:00,2019-11-01 02:44:27+00:00,4,381.0
01c9cf17-747a-413c-9a6b-ab88dfe25883,2019-11-01 00:13:42+00:00,2019-11-01 00:18:01+00:00,7,259.0
01caae9c-1fdc-4220-a0cc-ce7265e20703,2019-11-01 02:32:39+00:00,2019-11-01 02:32:39+00:00,1,0.0
01ce66d8-712e-4af6-b3b4-0b10daea532c,2019-11-01 01:41:10+00:00,2019-11-01 01:41:10+00:00,1,0.0
01cf8dc5-f83d-4ff6-8231-c5c84d67e421,2019-11-01 03:04:35+00:00,2019-11-01 03:07:39+00:00,8,184.0
01d4ade5-d266-4f33-b35c-864f47301bab,2019-11-01 05:52:00+00:00,2019-11-01 05:52:12+00:00,2,12.0
01d52a9f-185f-444a-8621-059d604de332,2019-11-01 03:32:14+00:00,2019-11-01 03:39:07+00:00,6,413.0
01d9245a-a14b-4fdf-a4c3-b19976c8d2cb,2019-11-01 03:05:19+00:00,2019-11-01 03:06:45+00:00,5,86.0
01e249a4-5091-40d9-9391-7191dab7c50f,2019-11-01 03:38:14+00:00,2019-11-01 03:38:14+00:00,1,0.0
01e71ea8-625c-4cb8-bca3-59bc7637da8f,2019-11-01 02:38:20+00:00,2019-11-01 02:39:21+00:00,2,61.0
01e84866-721c-4d15-b6ea-5748f1ad5551,2019-11-01 03:42:27+00:00,2019-11-01 03:42:42+00:00,2,15.0
01e90dda-64b2-43f2-819c-972fdc24149b,2019-11-01 01:48:35+00:00,2019-11-01 01:49:44+00:00,2,69.0
01e918ea-9a7e-4a33-95f6-1914211d7aa4,2019-11-01 03:42:49+00:00,2019-11-01 03:42:49+00:00,1,0.0
01eabfd6-e0c3-491f-8a07-dc009c2a4c62,2019-11-01 02:47:11+00:00,2019-11-01 02:47:11+00:00,1,0.0
01f5d6c9-969b-466e-8acb-a22663ac7678,2019-11-01 03:35:57+00:00,2019-11-01 03:35:57+00:00,1,0.0
01f62ee6-9580-444e-8fd2-fdd61cb72e0f,2019-11-01 03:43:44+00:00,2019-11-01 03:43:44+00:00,1,0.0
01f70f43-ef2d-4753-abc9-5ca579993c5d,2019-11-01 02:40:44+00:00,2019-11-01 02:48:53+00:00,15,489.0
01fb2453-f058-4201-bb78-a842f1b33d6d,2019-11-01 02:49:35+00:00,2019-11-01 02:49:35+00:00,1,0.0
01fe9e99-5fc3-48ac-8387-88fd6fc98d88,2019-11-01 02:33:56+00:00,2019-11-01 02:38:25+00:00,7,269.0
01ff3aee-7aa7-4a24-9e13-f48dc08203a3,2019-11-01 01:28:07+00:00,2019-11-01 01:28:07+00:00,1,0.0
01ff7aa7-da2b-42e8-91f7-b8c350fdb17b,2019-11-01 02:13:14+00:00,2019-11-01 02:13:14+00:00,1,0.0
0200c969-2192-4ab3-babf-5e7f771706dd,2019-11-01 03:15:39+00:00,2019-11-01 03:15:39+00:00,1,0.0
0201a330-a5d3-449f-a49a-28e42a5fce24,2019-11-01 03:18:07+00:00,2019-11-01 03:18:07+00:00,1,0.0
